"H0000200","H0013201","R0000100","R0000149","R0173600","R0214700","R0214800","T2210000","T2210700","T3107800","T3108600","T4112300","T4113100","T5022600","T5023500","T5770800","T5771400","T7743900","T8218700"
-4,-4,1,1,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2000,2010,2,2,5,3,2,7000,12,16800,12,43000,12,35400,12,-2,12,-4,43000
2002,2012,3,3,5,3,2,-2,12,-5,-5,93000,12,90000,12,79000,12,-4,130000
-4,2016,4,3,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,144600,14,-4,118300
-4,-4,5,5,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2002,2010,6,5,1,3,1,141050,16,116495,16,157000,16,182000,16,169010,16,-4,132450
2006,-4,7,7,1,3,1,32600,12,29352,12,-5,-5,-5,-5,-5,-5,-5,-5
2000,2008,8,8,6,3,2,-2,14,45319,14,41200,14,47000,14,47000,14,-4,51313
2004,2014,9,9,1,3,1,80000,14,102000,14,150000,14,160000,14,200000,14,-5,-5
-4,-4,10,10,6,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2000,-4,11,11,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,12,12,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2000,-4,13,13,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2004,2014,14,13,5,3,2,109750,19,106000,19,103000,19,77440,19,72500,19,-5,-5
2004,2014,15,15,1,3,1,241000,16,440692,16,497763,16,595986,16,922631,16,-4,766958
2000,2008,16,16,5,3,2,66000,13,119000,13,90000,13,94000,13,107300,13,-4,90000
1998,2008,17,17,1,3,1,94600,13,89000,13,60000,13,68000,13,73000,13,-4,69000
1998,2008,18,17,1,3,1,101000,13,60000,13,150000,13,151000,13,120050,13,-4,150000
1998,2010,19,19,5,3,2,-5,-5,-1,12,-5,-5,-5,-5,-5,-5,-5,-5
2000,2012,20,20,5,3,2,144600,17,-5,-5,190500,17,195000,17,213000,17,-5,-5
2002,2012,21,20,5,3,2,-2,16,440692,16,497763,16,595986,16,230000,16,-4,244200
2004,2014,22,22,5,3,2,96000,16,133250,16,40250,16,35700,16,45200,16,-5,-5
-4,-4,23,23,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,24,23,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2000,2010,25,25,5,3,2,213000,14,440692,14,185000,14,146000,14,172000,14,-4,198000
-4,2012,26,26,1,3,1,-5,-5,95000,16,105000,16,-5,-5,-5,-5,-5,-5
2000,2010,27,27,5,3,2,265874,16,87000,16,497763,16,143502,16,922631,16,-4,766958
-4,-4,28,27,5,3,2,-5,-5,17721,13,-5,-5,-5,-5,-5,-5,-5,-5
2002,2010,29,29,5,3,2,144500,12,113000,12,53410,12,-2,12,36604,12,-4,-3
2000,2008,30,29,5,3,2,48000,12,-2,12,34084,12,21882,12,0,12,-4,24000
2004,2014,31,31,4,1,1,76000,12,37641,12,74000,12,51000,12,68000,12,-4,40000
2004,2010,32,32,8,1,2,-5,-5,440692,18,-5,-5,-5,-5,-5,-5,-5,-5
2006,2012,33,32,4,1,1,6684,12,84816,12,0,12,9972,12,4176,12,-4,10160
2000,2008,34,34,1,3,1,45600,13,30000,13,53000,13,-2,13,24000,13,-4,25400
-4,-4,35,34,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2004,2012,36,36,1,3,1,30000,12,-2,12,66510,12,28000,12,65000,12,-4,87000
2000,2008,37,37,5,3,2,128400,12,168000,12,124100,12,165300,12,180000,12,-4,139762
2004,2012,38,37,5,3,2,127000,12,112500,12,128000,12,126000,12,165040,12,-4,160000
2000,2010,39,39,1,3,1,-1,12,75000,12,94000,12,100000,12,88000,12,-4,69000
2000,2010,40,40,2,3,1,153000,14,147693,14,158110,14,193220,14,194600,14,-4,181000
2002,2012,41,40,2,3,1,103000,15,134000,15,136500,15,149000,15,177000,15,-4,187000
2004,2014,42,42,1,3,1,101000,12,103000,12,159000,12,120000,12,121250,12,-5,-5
2002,2012,43,43,6,3,2,5676,12,4800,12,8016,12,9252,12,26120,12,-4,0
2002,2012,44,44,5,3,2,-2,12,179120,12,-2,12,245000,12,223680,12,-4,317080
-4,-4,45,45,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2004,-4,46,46,5,3,2,-2,19,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2000,2010,47,47,1,3,1,68000,12,68000,12,165000,12,185000,12,200660,12,-4,218000
-4,-4,48,48,2,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1998,2008,49,49,5,3,2,107100,14,115000,14,133115,14,84500,14,100506,14,-4,157888
2000,2008,50,50,5,3,2,100440,12,104500,12,119800,12,135000,12,140000,12,-4,141150
-4,-4,51,50,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,2012,52,52,1,3,1,-5,-5,-5,-5,497763,14,-2,14,255000,14,-5,-5
2004,2014,53,53,4,1,1,9749,12,13269,12,9960,12,9528,12,8730,12,-4,9948
1998,2010,54,54,1,3,1,-5,-5,40000,10,-5,-5,44000,10,42000,10,-4,52000
-4,-4,55,55,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,56,55,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1998,2008,57,57,5,3,2,102000,12,61712,12,46833,12,39544,12,52000,12,-4,36920
1998,2008,58,58,5,3,2,-2,17,154000,17,56312,17,163160,17,177532,17,-4,195300
2000,2010,59,58,1,3,1,-2,12,-2,12,-2,12,-2,12,-2,12,-4,-3
-4,2012,60,58,1,3,1,-5,-5,-5,-5,191000,12,-5,-5,-5,-5,-5,-5
2004,2012,61,61,5,3,2,165000,14,122750,14,121515,14,140000,14,130000,14,-4,160000
2006,2014,62,61,5,3,2,37400,13,46034,13,59000,14,58000,16,65000,16,-4,65000
2000,2010,63,63,1,3,1,235000,16,440692,16,497763,16,595986,16,922631,16,-4,333000
-4,-4,64,63,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,65,63,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2004,2014,66,66,1,3,1,-1,14,-1,14,0,14,0,14,-1,14,-4,-3
2002,2008,67,67,1,3,1,454737,18,-2,18,-2,18,595986,18,922631,18,-4,-3
2002,2012,68,67,5,3,2,-2,16,440692,16,497763,16,270000,16,-2,16,-4,156000
2006,2014,69,69,1,3,1,165250,18,186150,18,205200,18,185075,18,163150,18,-4,185200
2002,2012,70,70,1,3,1,-1,18,-2,18,40000,18,34000,18,42580,18,-4,-3
-4,2014,71,70,1,3,1,-5,-5,-1,19,-5,-5,-1,19,-1,19,-5,-5
2000,2010,72,72,5,3,2,41000,16,55720,16,42025,16,46050,16,44500,16,-4,47725
2004,2014,73,73,1,3,1,150000,18,210500,18,-5,-5,595986,18,922631,18,-4,766958
-4,-4,74,74,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2002,2012,75,74,5,3,2,130000,16,195000,16,185000,16,192000,16,220000,16,-4,295500
2004,2014,76,74,1,3,1,130000,14,143000,14,160000,14,110000,14,200000,14,-4,157000
2006,2014,77,77,5,3,2,170000,16,110000,16,155000,16,159000,16,160000,16,-4,172000
1998,-4,78,78,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2000,-4,79,78,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2004,2014,80,80,1,3,1,16000,17,32000,17,32500,19,23783,19,24000,19,-4,29000
2004,2014,81,80,1,3,1,-5,-5,-5,-5,-5,-5,54025,19,123545,19,-4,162000
2000,2008,82,82,3,2,1,0,12,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2000,2010,83,83,3,2,1,-1,10,-2,10,-2,10,-2,10,8796,10,-4,35124
2004,2014,84,83,3,2,1,0,12,2400,12,18000,12,2328,12,52328,12,-4,17640
2000,2010,85,85,3,2,1,5280,11,5600,11,4800,11,600,11,8484,11,-4,15240
2000,2010,86,85,7,2,2,13000,9,-2,9,22000,9,24000,9,24000,9,-4,-3
2004,2014,87,85,3,2,1,28000,12,26009,12,24000,12,0,12,15000,12,-4,18480
1998,2008,88,88,3,2,1,70000,16,74095,16,62296,16,70000,16,35000,16,-4,36000
2000,2016,89,89,7,2,2,116000,16,-5,-5,-5,-5,-5,-5,147000,16,-4,157000
2000,2008,90,90,1,3,1,168000,16,178000,16,173000,16,184400,16,227000,16,-4,220000
