"H0013301","H0013400","H0013401","H0013402","H0013403","H0013404","H0013405","H0013406","H0013407","H0013408","R0000100","R0173600","R0214700","R0214800","T4998600","T4998601","T4998602","T4998603","T4998604","T4998605","T4998606","T4998607","T4998608","T4998609","T5733900","T5733901","T5733902","T5733903","T5733904","T5733905","T5733906","T5733907","T5733908","T5733909","T8162900","T8162901","T8162902","T8162903","T8162904","T8162905","T8162906","T8162907","T8162908","T8162909"
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
9,2,-2,1,1,0,3,0,0,2,2,5,3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
3,0,0,0,0,0,3,0,0,0,3,5,3,2,7,1,7,7,7,1,7,1,7,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
10,2,2,0,3,0,0,3,3,2,4,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,7,1,4,5,7,1,7,1,4,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,5,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
0,0,0,0,0,0,0,0,0,0,6,1,3,1,4,6,4,5,3,2,2,6,4,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,7,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
9,0,2,1,1,2,1,2,3,1,8,6,3,2,7,1,7,6,7,6,6,2,7,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
0,0,0,0,0,0,0,0,0,0,9,1,3,1,5,3,7,1,6,4,5,1,6,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,10,6,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
